year,lake,species,grand_total,comments,region,values
1984,Huron,Lake Whitefish,4259,,Huron Proper (HP),2075
1984,Huron,Lake Whitefish,4259,,Georgian Bay (GB),140
1984,Huron,Lake Whitefish,4259,,North Channel (NC),397
1984,Huron,Lake Whitefish,4259,,Total Canada (ONT),2611
1985,Huron,Lake Whitefish,4916,,U.S. Huron Proper (HP),1843
1985,Huron,Lake Whitefish,4916,,U.S. Saginaw Bay (SB),104
1985,Huron,Lake Whitefish,4916,,U.S. Total (MI),1947
1985,Huron,Lake Whitefish,4916,,Huron Proper (HP),2351
1985,Huron,Lake Whitefish,4916,,Georgian Bay (GB),224
1985,Huron,Lake Whitefish,4916,,North Channel (NC),394
1985,Huron,Lake Whitefish,4916,,Total Canada (ONT),2969
1986,Huron,Lake Whitefish,5007,,U.S. Huron Proper (HP),1905
1986,Huron,Lake Whitefish,5007,,U.S. Saginaw Bay (SB),214
1986,Huron,Lake Whitefish,5007,,U.S. Total (MI),2119
1986,Huron,Lake Whitefish,5007,,Huron Proper (HP),2233
1986,Huron,Lake Whitefish,5007,,Georgian Bay (GB),271
1986,Huron,Lake Whitefish,5007,,North Channel (NC),385
1986,Huron,Lake Whitefish,5007,,Total Canada (ONT),2888
1987,Huron,Lake Whitefish,6118,,U.S. Huron Proper (HP),2495
1987,Huron,Lake Whitefish,6118,,U.S. Saginaw Bay (SB),322
1987,Huron,Lake Whitefish,6118,,U.S. Total (MI),2817
1987,Huron,Lake Whitefish,6118,,Huron Proper (HP),2660
1987,Huron,Lake Whitefish,6118,,Georgian Bay (GB),188
1987,Huron,Lake Whitefish,6118,,North Channel (NC),452
1987,Huron,Lake Whitefish,6118,,Total Canada (ONT),3301
1988,Huron,Lake Whitefish,5941,,U.S. Huron Proper (HP),2526
1988,Huron,Lake Whitefish,5941,,U.S. Saginaw Bay (SB),353
1988,Huron,Lake Whitefish,5941,,U.S. Total (MI),2879
1988,Huron,Lake Whitefish,5941,,Huron Proper (HP),2533
1988,Huron,Lake Whitefish,5941,,Georgian Bay (GB),122
1988,Huron,Lake Whitefish,5941,,North Channel (NC),406
1988,Huron,Lake Whitefish,5941,,Total Canada (ONT),3062
1989,Huron,Lake Whitefish,6209,,U.S. Huron Proper (HP),2860
1989,Huron,Lake Whitefish,6209,,U.S. Saginaw Bay (SB),436
1989,Huron,Lake Whitefish,6209,,U.S. Total (MI),3296
1989,Huron,Lake Whitefish,6209,,Huron Proper (HP),2476
1989,Huron,Lake Whitefish,6209,,Georgian Bay (GB),124
1989,Huron,Lake Whitefish,6209,,North Channel (NC),313
1989,Huron,Lake Whitefish,6209,,Total Canada (ONT),2913
1990,Huron,Lake Whitefish,5699,,U.S. Huron Proper (HP),2030
1990,Huron,Lake Whitefish,5699,,U.S. Saginaw Bay (SB),464
1990,Huron,Lake Whitefish,5699,,U.S. Total (MI),2494
1990,Huron,Lake Whitefish,5699,,Huron Proper (HP),2751
1990,Huron,Lake Whitefish,5699,,Georgian Bay (GB),149
1990,Huron,Lake Whitefish,5699,,North Channel (NC),306
1990,Huron,Lake Whitefish,5699,,Total Canada (ONT),3205
1991,Huron,Lake Whitefish,6433,,U.S. Huron Proper (HP),1271
1991,Huron,Lake Whitefish,6433,,U.S. Saginaw Bay (SB),1356
1991,Huron,Lake Whitefish,6433,,U.S. Total (MI),2627
1991,Huron,Lake Whitefish,6433,,Huron Proper (HP),3192
1991,Huron,Lake Whitefish,6433,,Georgian Bay (GB),241
1991,Huron,Lake Whitefish,6433,,North Channel (NC),373
1991,Huron,Lake Whitefish,6433,,Total Canada (ONT),3806
1992,Huron,Lake Whitefish,6787,,U.S. Huron Proper (HP),1937
1992,Huron,Lake Whitefish,6787,,U.S. Saginaw Bay (SB),784
1992,Huron,Lake Whitefish,6787,,U.S. Total (MI),2721
1992,Huron,Lake Whitefish,6787,,Huron Proper (HP),3388
1992,Huron,Lake Whitefish,6787,,Georgian Bay (GB),286
1992,Huron,Lake Whitefish,6787,,North Channel (NC),393
1992,Huron,Lake Whitefish,6787,,Total Canada (ONT),4066
1993,Huron,Lake Whitefish,7305,,U.S. Huron Proper (HP),2208
1993,Huron,Lake Whitefish,7305,,U.S. Saginaw Bay (SB),807
1993,Huron,Lake Whitefish,7305,,U.S. Total (MI),3015
1993,Huron,Lake Whitefish,7305,,Huron Proper (HP),3532
1993,Huron,Lake Whitefish,7305,,Georgian Bay (GB),333
1993,Huron,Lake Whitefish,7305,,North Channel (NC),426
1993,Huron,Lake Whitefish,7305,,Total Canada (ONT),4290
1994,Huron,Lake Whitefish,7633,,U.S. Huron Proper (HP),2322
1994,Huron,Lake Whitefish,7633,,U.S. Saginaw Bay (SB),782
1994,Huron,Lake Whitefish,7633,,U.S. Total (MI),3104
1994,Huron,Lake Whitefish,7633,,Huron Proper (HP),3819
1994,Huron,Lake Whitefish,7633,,Georgian Bay (GB),363
1994,Huron,Lake Whitefish,7633,,North Channel (NC),346
1994,Huron,Lake Whitefish,7633,,Total Canada (ONT),4529
1995,Huron,Lake Whitefish,8163,,U.S. Huron Proper (HP),2776
1995,Huron,Lake Whitefish,8163,,U.S. Saginaw Bay (SB),711
1995,Huron,Lake Whitefish,8163,,U.S. Total (MI),3487
1995,Huron,Lake Whitefish,8163,,Huron Proper (HP),3664
1995,Huron,Lake Whitefish,8163,,Georgian Bay (GB),573
1995,Huron,Lake Whitefish,8163,,North Channel (NC),439
1995,Huron,Lake Whitefish,8163,,Total Canada (ONT),4676
1996,Huron,Lake Whitefish,8717,,U.S. Huron Proper (HP),3011
1996,Huron,Lake Whitefish,8717,,U.S. Saginaw Bay (SB),731
1996,Huron,Lake Whitefish,8717,,U.S. Total (MI),3741
1996,Huron,Lake Whitefish,8717,,Huron Proper (HP),3749
1996,Huron,Lake Whitefish,8717,,Georgian Bay (GB),709
1996,Huron,Lake Whitefish,8717,,North Channel (NC),517
1996,Huron,Lake Whitefish,8717,,Total Canada (ONT),4976
1997,Huron,Lake Whitefish,9486,,U.S. Huron Proper (HP),2855
1997,Huron,Lake Whitefish,9486,,U.S. Saginaw Bay (SB),794
1997,Huron,Lake Whitefish,9486,,U.S. Total (MI),3649
1997,Huron,Lake Whitefish,9486,,Huron Proper (HP),4615
1997,Huron,Lake Whitefish,9486,,Georgian Bay (GB),678
1997,Huron,Lake Whitefish,9486,,North Channel (NC),543
1997,Huron,Lake Whitefish,9486,,Total Canada (ONT),5837
1998,Huron,Lake Whitefish,9393,,U.S. Huron Proper (HP),2820
1998,Huron,Lake Whitefish,9393,,U.S. Saginaw Bay (SB),711
1998,Huron,Lake Whitefish,9393,,U.S. Total (MI),3531
1998,Huron,Lake Whitefish,9393,,Huron Proper (HP),4405
1998,Huron,Lake Whitefish,9393,,Georgian Bay (GB),853
1998,Huron,Lake Whitefish,9393,,North Channel (NC),603
1998,Huron,Lake Whitefish,9393,,Total Canada (ONT),5862
1999,Huron,Lake Whitefish,9342,,U.S. Huron Proper (HP),2543
1999,Huron,Lake Whitefish,9342,,U.S. Saginaw Bay (SB),703
1999,Huron,Lake Whitefish,9342,,U.S. Total (MI),3246
1999,Huron,Lake Whitefish,9342,,Huron Proper (HP),4621
1999,Huron,Lake Whitefish,9342,,Georgian Bay (GB),983
1999,Huron,Lake Whitefish,9342,,North Channel (NC),492
1999,Huron,Lake Whitefish,9342,,Total Canada (ONT),6096
2000,Huron,Lake Whitefish,9758,,U.S. Huron Proper (HP),3000
2000,Huron,Lake Whitefish,9758,,U.S. Saginaw Bay (SB),623
2000,Huron,Lake Whitefish,9758,,U.S. Total (MI),3622
2000,Huron,Lake Whitefish,9758,,Huron Proper (HP),4534
2000,Huron,Lake Whitefish,9758,,Georgian Bay (GB),936
2000,Huron,Lake Whitefish,9758,,North Channel (NC),666
2000,Huron,Lake Whitefish,9758,,Total Canada (ONT),6136
2001,Huron,Lake Whitefish,9449,,U.S. Huron Proper (HP),2968
2001,Huron,Lake Whitefish,9449,,U.S. Saginaw Bay (SB),497
2001,Huron,Lake Whitefish,9449,,U.S. Total (MI),3465
2001,Huron,Lake Whitefish,9449,,Huron Proper (HP),4455
2001,Huron,Lake Whitefish,9449,,Georgian Bay (GB),863
2001,Huron,Lake Whitefish,9449,,North Channel (NC),666
2001,Huron,Lake Whitefish,9449,,Total Canada (ONT),5984
2002,Huron,Lake Whitefish,8624,,U.S. Huron Proper (HP),2518
2002,Huron,Lake Whitefish,8624,,U.S. Saginaw Bay (SB),549
2002,Huron,Lake Whitefish,8624,,U.S. Total (MI),3067
2002,Huron,Lake Whitefish,8624,,Huron Proper (HP),4096
2002,Huron,Lake Whitefish,8624,,Georgian Bay (GB),805
2002,Huron,Lake Whitefish,8624,,North Channel (NC),657
2002,Huron,Lake Whitefish,8624,,Total Canada (ONT),5557
2003,Huron,Lake Whitefish,8273,,U.S. Huron Proper (HP),2491
2003,Huron,Lake Whitefish,8273,,U.S. Saginaw Bay (SB),711
2003,Huron,Lake Whitefish,8273,,U.S. Total (MI),3203
2003,Huron,Lake Whitefish,8273,,Huron Proper (HP),3776
2003,Huron,Lake Whitefish,8273,,Georgian Bay (GB),746
2003,Huron,Lake Whitefish,8273,,North Channel (NC),548
2003,Huron,Lake Whitefish,8273,,Total Canada (ONT),5070
2004,Huron,Lake Whitefish,7760,,U.S. Huron Proper (HP),2050
2004,Huron,Lake Whitefish,7760,,U.S. Saginaw Bay (SB),815
2004,Huron,Lake Whitefish,7760,,U.S. Total (MI),2865
2004,Huron,Lake Whitefish,7760,,Huron Proper (HP),3713
2004,Huron,Lake Whitefish,7760,,Georgian Bay (GB),694
2004,Huron,Lake Whitefish,7760,,North Channel (NC),488
2004,Huron,Lake Whitefish,7760,,Total Canada (ONT),4895
2005,Huron,Lake Whitefish,7268,,U.S. Huron Proper (HP),2444
2005,Huron,Lake Whitefish,7268,,U.S. Saginaw Bay (SB),900
2005,Huron,Lake Whitefish,7268,,U.S. Total (MI),3343
2005,Huron,Lake Whitefish,7268,,Huron Proper (HP),2935
2005,Huron,Lake Whitefish,7268,,Georgian Bay (GB),590
2005,Huron,Lake Whitefish,7268,,North Channel (NC),400
2005,Huron,Lake Whitefish,7268,,Total Canada (ONT),3925
2006,Huron,Lake Whitefish,8059,,U.S. Huron Proper (HP),2562
2006,Huron,Lake Whitefish,8059,,U.S. Saginaw Bay (SB),1038
2006,Huron,Lake Whitefish,8059,,U.S. Total (MI),3601
2006,Huron,Lake Whitefish,8059,,Huron Proper (HP),3022
2006,Huron,Lake Whitefish,8059,,Georgian Bay (GB),780
2006,Huron,Lake Whitefish,8059,,North Channel (NC),655
2006,Huron,Lake Whitefish,8059,,Total Canada (ONT),4458
2007,Huron,Lake Whitefish,7138,,U.S. Huron Proper (HP),2461
2007,Huron,Lake Whitefish,7138,,U.S. Saginaw Bay (SB),979
2007,Huron,Lake Whitefish,7138,,U.S. Total (MI),3440
2007,Huron,Lake Whitefish,7138,,Huron Proper (HP),2644
2007,Huron,Lake Whitefish,7138,,Georgian Bay (GB),661
2007,Huron,Lake Whitefish,7138,,North Channel (NC),392
2007,Huron,Lake Whitefish,7138,,Total Canada (ONT),3698
2008,Huron,Lake Whitefish,7591,,U.S. Huron Proper (HP),1968
2008,Huron,Lake Whitefish,7591,,U.S. Saginaw Bay (SB),1020
2008,Huron,Lake Whitefish,7591,,U.S. Total (MI),2989
2008,Huron,Lake Whitefish,7591,,Huron Proper (HP),3261
2008,Huron,Lake Whitefish,7591,,Georgian Bay (GB),835
2008,Huron,Lake Whitefish,7591,,North Channel (NC),507
2008,Huron,Lake Whitefish,7591,,Total Canada (ONT),4602
2009,Huron,Lake Whitefish,7209,,U.S. Huron Proper (HP),1769
2009,Huron,Lake Whitefish,7209,,U.S. Saginaw Bay (SB),1084
2009,Huron,Lake Whitefish,7209,,U.S. Total (MI),2854
2009,Huron,Lake Whitefish,7209,,Huron Proper (HP),2851
2009,Huron,Lake Whitefish,7209,,Georgian Bay (GB),985
2009,Huron,Lake Whitefish,7209,,North Channel (NC),520
2009,Huron,Lake Whitefish,7209,,Total Canada (ONT),4355
2010,Huron,Lake Whitefish,6194,,U.S. Huron Proper (HP),1541
2010,Huron,Lake Whitefish,6194,,U.S. Saginaw Bay (SB),858
2010,Huron,Lake Whitefish,6194,,U.S. Total (MI),2399
2010,Huron,Lake Whitefish,6194,,Huron Proper (HP),2543
2010,Huron,Lake Whitefish,6194,,Georgian Bay (GB),757
2010,Huron,Lake Whitefish,6194,,North Channel (NC),495
2010,Huron,Lake Whitefish,6194,,Total Canada (ONT),3795
2011,Huron,Lake Whitefish,5865,,U.S. Huron Proper (HP),1387
2011,Huron,Lake Whitefish,5865,,U.S. Saginaw Bay (SB),986
2011,Huron,Lake Whitefish,5865,,U.S. Total (MI),2373
2011,Huron,Lake Whitefish,5865,,Huron Proper (HP),2308
2011,Huron,Lake Whitefish,5865,,Georgian Bay (GB),783
2011,Huron,Lake Whitefish,5865,,North Channel (NC),401
2011,Huron,Lake Whitefish,5865,,Total Canada (ONT),3492
2012,Huron,Lake Whitefish,5720,,U.S. Huron Proper (HP),1338
2012,Huron,Lake Whitefish,5720,,U.S. Saginaw Bay (SB),624
2012,Huron,Lake Whitefish,5720,,U.S. Total (MI),1962
2012,Huron,Lake Whitefish,5720,,Huron Proper (HP),2676
2012,Huron,Lake Whitefish,5720,,Georgian Bay (GB),697
2012,Huron,Lake Whitefish,5720,,North Channel (NC),385
2012,Huron,Lake Whitefish,5720,,Total Canada (ONT),3758
2013,Huron,Lake Whitefish,5165,,U.S. Huron Proper (HP),1120
2013,Huron,Lake Whitefish,5165,,U.S. Saginaw Bay (SB),943
2013,Huron,Lake Whitefish,5165,,U.S. Total (MI),2063
2013,Huron,Lake Whitefish,5165,,Huron Proper (HP),2220
2013,Huron,Lake Whitefish,5165,,Georgian Bay (GB),490
2013,Huron,Lake Whitefish,5165,,North Channel (NC),392
2013,Huron,Lake Whitefish,5165,,Total Canada (ONT),3102
2014,Huron,Lake Whitefish,3875,,U.S. Huron Proper (HP),765
2014,Huron,Lake Whitefish,3875,,U.S. Saginaw Bay (SB),848
2014,Huron,Lake Whitefish,3875,,U.S. Total (MI),1613
2014,Huron,Lake Whitefish,3875,,Huron Proper (HP),1566
2014,Huron,Lake Whitefish,3875,,Georgian Bay (GB),411
2014,Huron,Lake Whitefish,3875,,North Channel (NC),284
2014,Huron,Lake Whitefish,3875,,Total Canada (ONT),2261
2015,Huron,Lake Whitefish,3444,,U.S. Huron Proper (HP),913
2015,Huron,Lake Whitefish,3444,,U.S. Saginaw Bay (SB),576
2015,Huron,Lake Whitefish,3444,,U.S. Total (MI),1489
2015,Huron,Lake Whitefish,3444,,Huron Proper (HP),1380
2015,Huron,Lake Whitefish,3444,,Georgian Bay (GB),309
2015,Huron,Lake Whitefish,3444,,North Channel (NC),266
2015,Huron,Lake Whitefish,3444,,Total Canada (ONT),1955
1870,Huron,Northern Pike,,,U.S. Huron Proper (HP),
1870,Huron,Northern Pike,,,U.S. Saginaw Bay (SB),
1870,Huron,Northern Pike,,,U.S. Total (MI),
1870,Huron,Northern Pike,,,Huron Proper (HP),
1870,Huron,Northern Pike,,,Georgian Bay (GB),
1870,Huron,Northern Pike,,,North Channel (NC),
1870,Huron,Northern Pike,,,Total Canada (ONT),60
1871,Huron,Northern Pike,,,U.S. Huron Proper (HP),
1871,Huron,Northern Pike,,,U.S. Saginaw Bay (SB),
1871,Huron,Northern Pike,,,U.S. Total (MI),
1871,Huron,Northern Pike,,,Huron Proper (HP),
1871,Huron,Northern Pike,,,Georgian Bay (GB),
1871,Huron,Northern Pike,,,North Channel (NC),
1871,Huron,Northern Pike,,,Total Canada (ONT),
1872,Huron,Northern Pike,,,U.S. Huron Proper (HP),
1872,Huron,Northern Pike,,,U.S. Saginaw Bay (SB),
1872,Huron,Northern Pike,,,U.S. Total (MI),
1872,Huron,Northern Pike,,,Huron Proper (HP),
1872,Huron,Northern Pike,,,Georgian Bay (GB),
1872,Huron,Northern Pike,,,North Channel (NC),
1872,Huron,Northern Pike,,,Total Canada (ONT),
1873,Huron,Northern Pike,,,U.S. Huron Proper (HP),
1873,Huron,Northern Pike,,,U.S. Saginaw Bay (SB),
1873,Huron,Northern Pike,,,U.S. Total (MI),
1873,Huron,Northern Pike,,,Huron Proper (HP),
1873,Huron,Northern Pike,,,Georgian Bay (GB),
1873,Huron,Northern Pike,,,North Channel (NC),
1873,Huron,Northern Pike,,,Total Canada (ONT),
1874,Huron,Northern Pike,,,U.S. Huron Proper (HP),
1874,Huron,Northern Pike,,,U.S. Saginaw Bay (SB),
1874,Huron,Northern Pike,,,U.S. Total (MI),
1874,Huron,Northern Pike,,,Huron Proper (HP),
1874,Huron,Northern Pike,,,Georgian Bay (GB),
1874,Huron,Northern Pike,,,North Channel (NC),
1874,Huron,Northern Pike,,,Total Canada (ONT),
1875,Huron,Northern Pike,,,U.S. Huron Proper (HP),
1875,Huron,Northern Pike,,,U.S. Saginaw Bay (SB),
1875,Huron,Northern Pike,,,U.S. Total (MI),
1875,Huron,Northern Pike,,,Huron Proper (HP),
1875,Huron,Northern Pike,,,Georgian Bay (GB),
1875,Huron,Northern Pike,,,North Channel (NC),
1875,Huron,Northern Pike,,,Total Canada (ONT),
1876,Huron,Northern Pike,,,U.S. Huron Proper (HP),
1876,Huron,Northern Pike,,,U.S. Saginaw Bay (SB),
1876,Huron,Northern Pike,,,U.S. Total (MI),
1876,Huron,Northern Pike,,,Huron Proper (HP),
1876,Huron,Northern Pike,,,Georgian Bay (GB),
1876,Huron,Northern Pike,,,North Channel (NC),
1876,Huron,Northern Pike,,,Total Canada (ONT),4
1877,Huron,Northern Pike,,,U.S. Huron Proper (HP),
1877,Huron,Northern Pike,,,U.S. Saginaw Bay (SB),
1877,Huron,Northern Pike,,,U.S. Total (MI),
1877,Huron,Northern Pike,,,Huron Proper (HP),
1877,Huron,Northern Pike,,,Georgian Bay (GB),
1877,Huron,Northern Pike,,,North Channel (NC),
1877,Huron,Northern Pike,,,Total Canada (ONT),8
1878,Huron,Northern Pike,,,U.S. Huron Proper (HP),
1878,Huron,Northern Pike,,,U.S. Saginaw Bay (SB),
1878,Huron,Northern Pike,,,U.S. Total (MI),
1878,Huron,Northern Pike,,,Huron Proper (HP),
1878,Huron,Northern Pike,,,Georgian Bay (GB),
1878,Huron,Northern Pike,,,North Channel (NC),
1878,Huron,Northern Pike,,,Total Canada (ONT),0
1879,Huron,Northern Pike,,,U.S. Huron Proper (HP),
1879,Huron,Northern Pike,,,U.S. Saginaw Bay (SB),
1879,Huron,Northern Pike,,,U.S. Total (MI),
1879,Huron,Northern Pike,,,Huron Proper (HP),
1879,Huron,Northern Pike,,,Georgian Bay (GB),
1879,Huron,Northern Pike,,,North Channel (NC),
1879,Huron,Northern Pike,,,Total Canada (ONT),21
1880,Huron,Northern Pike,,,U.S. Huron Proper (HP),
1880,Huron,Northern Pike,,,U.S. Saginaw Bay (SB),
1880,Huron,Northern Pike,,,U.S. Total (MI),
1880,Huron,Northern Pike,,,Huron Proper (HP),
1880,Huron,Northern Pike,,,Georgian Bay (GB),
1880,Huron,Northern Pike,,,North Channel (NC),
1880,Huron,Northern Pike,,,Total Canada (ONT),
1881,Huron,Northern Pike,,,U.S. Huron Proper (HP),
1881,Huron,Northern Pike,,,U.S. Saginaw Bay (SB),
1881,Huron,Northern Pike,,,U.S. Total (MI),
1881,Huron,Northern Pike,,,Huron Proper (HP),
1881,Huron,Northern Pike,,,Georgian Bay (GB),
1881,Huron,Northern Pike,,,North Channel (NC),
1881,Huron,Northern Pike,,,Total Canada (ONT),14
1882,Huron,Northern Pike,,,U.S. Huron Proper (HP),
1882,Huron,Northern Pike,,,U.S. Saginaw Bay (SB),
1882,Huron,Northern Pike,,,U.S. Total (MI),
1882,Huron,Northern Pike,,,Huron Proper (HP),
1882,Huron,Northern Pike,,,Georgian Bay (GB),
1882,Huron,Northern Pike,,,North Channel (NC),
1882,Huron,Northern Pike,,,Total Canada (ONT),13
1883,Huron,Northern Pike,,,U.S. Huron Proper (HP),
1883,Huron,Northern Pike,,,U.S. Saginaw Bay (SB),
1883,Huron,Northern Pike,,,U.S. Total (MI),
1883,Huron,Northern Pike,,,Huron Proper (HP),
1883,Huron,Northern Pike,,,Georgian Bay (GB),
1883,Huron,Northern Pike,,,North Channel (NC),
1883,Huron,Northern Pike,,,Total Canada (ONT),185
1884,Huron,Northern Pike,,,U.S. Huron Proper (HP),
1884,Huron,Northern Pike,,,U.S. Saginaw Bay (SB),
1884,Huron,Northern Pike,,,U.S. Total (MI),
1884,Huron,Northern Pike,,,Huron Proper (HP),
1884,Huron,Northern Pike,,,Georgian Bay (GB),
1884,Huron,Northern Pike,,,North Channel (NC),
1884,Huron,Northern Pike,,,Total Canada (ONT),24
1885,Huron,Northern Pike,,,U.S. Huron Proper (HP),
1885,Huron,Northern Pike,,,U.S. Saginaw Bay (SB),
1885,Huron,Northern Pike,,,U.S. Total (MI),
1885,Huron,Northern Pike,,,Huron Proper (HP),
1885,Huron,Northern Pike,,,Georgian Bay (GB),
1885,Huron,Northern Pike,,,North Channel (NC),
1885,Huron,Northern Pike,,,Total Canada (ONT),17
1886,Huron,Northern Pike,,,U.S. Huron Proper (HP),
1886,Huron,Northern Pike,,,U.S. Saginaw Bay (SB),
1886,Huron,Northern Pike,,,U.S. Total (MI),
1886,Huron,Northern Pike,,,Huron Proper (HP),
1886,Huron,Northern Pike,,,Georgian Bay (GB),
1886,Huron,Northern Pike,,,North Channel (NC),
1886,Huron,Northern Pike,,,Total Canada (ONT),11
1887,Huron,Northern Pike,,,U.S. Huron Proper (HP),
1887,Huron,Northern Pike,,,U.S. Saginaw Bay (SB),
1887,Huron,Northern Pike,,,U.S. Total (MI),
1887,Huron,Northern Pike,,,Huron Proper (HP),
1887,Huron,Northern Pike,,,Georgian Bay (GB),
1887,Huron,Northern Pike,,,North Channel (NC),
1887,Huron,Northern Pike,,,Total Canada (ONT),1
1888,Huron,Northern Pike,,,U.S. Huron Proper (HP),
1888,Huron,Northern Pike,,,U.S. Saginaw Bay (SB),
1888,Huron,Northern Pike,,,U.S. Total (MI),
1888,Huron,Northern Pike,,,Huron Proper (HP),
1888,Huron,Northern Pike,,,Georgian Bay (GB),
1888,Huron,Northern Pike,,,North Channel (NC),
1888,Huron,Northern Pike,,,Total Canada (ONT),7
1889,Huron,Northern Pike,,,U.S. Huron Proper (HP),
1889,Huron,Northern Pike,,,U.S. Saginaw Bay (SB),
1889,Huron,Northern Pike,,,U.S. Total (MI),
1889,Huron,Northern Pike,,,Huron Proper (HP),
1889,Huron,Northern Pike,,,Georgian Bay (GB),
1889,Huron,Northern Pike,,,North Channel (NC),
1889,Huron,Northern Pike,,,Total Canada (ONT),136
1890,Huron,Northern Pike,,,U.S. Huron Proper (HP),
1890,Huron,Northern Pike,,,U.S. Saginaw Bay (SB),
1890,Huron,Northern Pike,,,U.S. Total (MI),
1890,Huron,Northern Pike,,,Huron Proper (HP),
1890,Huron,Northern Pike,,,Georgian Bay (GB),
1890,Huron,Northern Pike,,,North Channel (NC),
1890,Huron,Northern Pike,,,Total Canada (ONT),40
1891,Huron,Northern Pike,,,U.S. Huron Proper (HP),
1891,Huron,Northern Pike,,,U.S. Saginaw Bay (SB),
1891,Huron,Northern Pike,,,U.S. Total (MI),
1891,Huron,Northern Pike,,,Huron Proper (HP),
1891,Huron,Northern Pike,,,Georgian Bay (GB),
1891,Huron,Northern Pike,,,North Channel (NC),
1891,Huron,Northern Pike,,,Total Canada (ONT),102
1892,Huron,Northern Pike,,,U.S. Huron Proper (HP),
1892,Huron,Northern Pike,,,U.S. Saginaw Bay (SB),
1892,Huron,Northern Pike,,,U.S. Total (MI),
1892,Huron,Northern Pike,,,Huron Proper (HP),
1892,Huron,Northern Pike,,,Georgian Bay (GB),
1892,Huron,Northern Pike,,,North Channel (NC),
1892,Huron,Northern Pike,,,Total Canada (ONT),103
1893,Huron,Northern Pike,,,U.S. Huron Proper (HP),
1893,Huron,Northern Pike,,,U.S. Saginaw Bay (SB),
1893,Huron,Northern Pike,,,U.S. Total (MI),
1893,Huron,Northern Pike,,,Huron Proper (HP),
1893,Huron,Northern Pike,,,Georgian Bay (GB),
1893,Huron,Northern Pike,,,North Channel (NC),
1893,Huron,Northern Pike,,,Total Canada (ONT),83
1894,Huron,Northern Pike,,,U.S. Huron Proper (HP),
1894,Huron,Northern Pike,,,U.S. Saginaw Bay (SB),
1894,Huron,Northern Pike,,,U.S. Total (MI),
1894,Huron,Northern Pike,,,Huron Proper (HP),
1894,Huron,Northern Pike,,,Georgian Bay (GB),
1894,Huron,Northern Pike,,,North Channel (NC),
1894,Huron,Northern Pike,,,Total Canada (ONT),105
1895,Huron,Northern Pike,,,U.S. Huron Proper (HP),
1895,Huron,Northern Pike,,,U.S. Saginaw Bay (SB),
1895,Huron,Northern Pike,,,U.S. Total (MI),
1895,Huron,Northern Pike,,,Huron Proper (HP),
1895,Huron,Northern Pike,,,Georgian Bay (GB),
1895,Huron,Northern Pike,,,North Channel (NC),
1895,Huron,Northern Pike,,,Total Canada (ONT),271
1896,Huron,Northern Pike,,,U.S. Huron Proper (HP),
1896,Huron,Northern Pike,,,U.S. Saginaw Bay (SB),
1896,Huron,Northern Pike,,,U.S. Total (MI),
1896,Huron,Northern Pike,,,Huron Proper (HP),
1896,Huron,Northern Pike,,,Georgian Bay (GB),
1896,Huron,Northern Pike,,,North Channel (NC),
1896,Huron,Northern Pike,,,Total Canada (ONT),65
1897,Huron,Northern Pike,,,U.S. Huron Proper (HP),
1897,Huron,Northern Pike,,,U.S. Saginaw Bay (SB),
1897,Huron,Northern Pike,,,U.S. Total (MI),
1897,Huron,Northern Pike,,,Huron Proper (HP),
1897,Huron,Northern Pike,,,Georgian Bay (GB),
1897,Huron,Northern Pike,,,North Channel (NC),
1897,Huron,Northern Pike,,,Total Canada (ONT),196
1898,Huron,Northern Pike,,,U.S. Huron Proper (HP),
1898,Huron,Northern Pike,,,U.S. Saginaw Bay (SB),
1898,Huron,Northern Pike,,,U.S. Total (MI),
1898,Huron,Northern Pike,,,Huron Proper (HP),
1898,Huron,Northern Pike,,,Georgian Bay (GB),
1898,Huron,Northern Pike,,,North Channel (NC),
1898,Huron,Northern Pike,,,Total Canada (ONT),173
1899,Huron,Northern Pike,599,,U.S. Huron Proper (HP),
1899,Huron,Northern Pike,599,,U.S. Saginaw Bay (SB),
1899,Huron,Northern Pike,599,,U.S. Total (MI),192
1899,Huron,Northern Pike,599,,Huron Proper (HP),
1899,Huron,Northern Pike,599,,Georgian Bay (GB),
1899,Huron,Northern Pike,599,,North Channel (NC),
1899,Huron,Northern Pike,599,,Total Canada (ONT),408
1900,Huron,Northern Pike,,,U.S. Huron Proper (HP),
1900,Huron,Northern Pike,,,U.S. Saginaw Bay (SB),
1900,Huron,Northern Pike,,,U.S. Total (MI),
1900,Huron,Northern Pike,,,Huron Proper (HP),
1900,Huron,Northern Pike,,,Georgian Bay (GB),
1900,Huron,Northern Pike,,,North Channel (NC),
1900,Huron,Northern Pike,,,Total Canada (ONT),101
1901,Huron,Northern Pike,,,U.S. Huron Proper (HP),
1901,Huron,Northern Pike,,,U.S. Saginaw Bay (SB),
1901,Huron,Northern Pike,,,U.S. Total (MI),
1901,Huron,Northern Pike,,,Huron Proper (HP),
1901,Huron,Northern Pike,,,Georgian Bay (GB),
1901,Huron,Northern Pike,,,North Channel (NC),
1901,Huron,Northern Pike,,,Total Canada (ONT),118
1902,Huron,Northern Pike,,,U.S. Huron Proper (HP),
1902,Huron,Northern Pike,,,U.S. Saginaw Bay (SB),
1902,Huron,Northern Pike,,,U.S. Total (MI),
1902,Huron,Northern Pike,,,Huron Proper (HP),
